*
G20
G90
T1
G00 X74.037 Y98.286 Z-0.394
M04
G02 X73.835 Y96.891 I-3.707 J-0.175 F3.937
 X72.388 Y95.534 I-2.037 J0.722
 X70.796 Y95.418 I-1.077 J3.813
 X68.286 Y96.177 I0.975 J7.75
 X66.34 Y97.509 I3.171 J6.722
 X65.847 Y98.095 I2.666 J2.743
 X64.372 Y102.247 I7.111 J4.863
 X64.936 Y106.199 I9.464 J0.667
 X67.148 Y110.035 I12.248 J-4.511
 X72.398 Y114.155 I11.861 J-9.706
 X73.656 Y114.667 I5.397 J-11.474
 X83.972 Y114.873 I5.475 J-15.763
 X90.086 Y111.766 I-5.718 J-18.822
 X97.018 Y103.322 I-13.878 J-18.461
 X98.609 Y98.857 I-19.75 J-9.552
 X97.894 Y84.921 I-24.144 J-5.749
 X93.136 Y76.437 I-26.453 J9.26
 X77.206 Y66.069 I-24.175 J19.725
 X69.163 Y64.981 I-8.337 J31.358
 X55.585 Y67.761 I-0.265 J33.259
 X44.993 Y74.771 I14.807 J33.883
 X33.951 Y93.189 I27.016 J28.714
 X32.623 Y103.09 I38.596 J10.218
 X36.014 Y119.813 I41.262 J0.339
 X44.289 Y132.52 I41.418 J-17.925
 X66.347 Y146.088 I35.063 J-32.287
 X72.894 Y147.429 I12.469 J-44.247
 X96.656 Y144.63 I6.323 J-48.596
 X111.623 Y135.88 I-18.801 J-49.33
 X129.377 Y109.212 I-35.726 J-43.029
 X131.701 Y95.311 I-52.258 J-15.88
 X127.612 Y71.798 I-57.111 J-2.18
 X117.441 Y54.978 I-56.821 J22.871
 X88.573 Y35.537 I-48.972 J41.566
 X75.561 Y32.762 I-19.405 J59.094
 X45.849 Y36.63 I-6.684 J64.703
 X26.842 Y47.541 I24.518 J64.722
 X3.975 Y79.914 I45.569 J56.45
 X0.02 Y101.719 I66.549 J23.334
 X5.132 Y130.34 I73.172 J1.698
 X17.384 Y151.118 I72.219 J-28.582
 X51.496 Y175.519 I62.509 J-51.346
 X72.133 Y180.19 I27.464 J-73.399
 X107.393 Y175.428 I7.046 J-80.75
 X130.146 Y162.745 I-29.802 J-80.213
 X158.41 Y125.01 I-54.753 J-70.464
 X164.422 Y94.023 I-80.547 J-31.705
 X158.334 Y60.773 I-89.222 J-0.844
 X144.414 Y36.519 I-87.638 J34.174
 X105.174 Y6.887 I-76.545 J60.566
 X76.323 Y-0.0 I-36.099 J87.356
M05
M05 M06 M20
M02
